Unnamed: 0	year	title	abstract	Targeted organisms	Technical target	Methods	Topics	_title_key	microbial_related_auto	microbial_related_manual
2724	2023	Reovirus genomic diversity confers plasticity for protease utility during adaptation to intracellular uncoating	ABSTRACT Mammalian orthoreoviruses (reoviruses) infect many mammals and provide a safe model to study enteric viruses. Knowledge of reoviruses is derived from prototypic lab strains, notably T1L and T3D. Based on these prototypic strains, reoviruses can efficiently utilize gut or lysosomal proteases for uncoating and penetration into host cytoplasm. To discover natural reovirus characteristics, we isolated four genetically diverse wastewater reovirus samples and compared their genetic and phenotypic characteristics to those of T1L/T3D. On L929 cells, the most commonly used model for reovirus studies, naturally derived reoviruses displayed lower fitness than T1L/T3D, evident from smaller plaques and higher relative particle-to-PFU ratios. In contrast to T1L/T3D, which are uncoated efficiently by lysosomal-mediated proteolysis, naturally derived reoviruses displayed poor uncoating kinetics. Exposure of naturally derived reoviruses to gut proteases led to rapid extracellular uncoating and significantly improved infectivity relative to T1L/T3D, indicating that wild reoviruses depended more on extracellular gut proteases. To discover if reovirus can adapt to new host proteases, naturally derived samples were passaged on L929 cells, and large and small plaque-forming isolates were evaluated. Larger plaque sizes correlate with faster intracellular uncoating. Whole-genome sequencing identified the outer capsid σ3 protein as the determinant of uncoating proficiency between wild reoviruses. Interestingly, mutations that permitted intracellular uncoating were found in 0.01% of the parental quasispecies, suggesting that variants with altered protease sensitivity were rapidly selected for during cell culture propagation. Altogether, these findings indicate that naturally circulating reoviruses are more reliant on gut proteases, but the genetic diversity of reovirus quasispecies bestows tremendous plasticity toward protease utility. IMPORTANCE Reoviruses infect many mammals and are widely studied as a model system for enteric viruses. However, most of our reovirus knowledge comes from laboratory strains maintained on immortalized L929 cells. Herein, we asked whether naturally circulating reoviruses possess the same genetic and phenotypic characteristics as laboratory strains. Naturally circulating reoviruses obtained from sewage were extremely diverse genetically. Moreover, sewage reoviruses exhibited poor fitness on L929 cells and relied heavily on gut proteases for viral uncoating and productive infection compared to laboratory strains. We then examined how naturally circulating reoviruses might adapt to cell culture conditions. Within three passages, virus isolates from the parental sewage population were selected, displaying improved fitness and intracellular uncoating in L929 cells. Remarkably, selected progeny clones were present at 0.01% of the parental population. Altogether, using reovirus as a model, our study demonstrates how the high genetic diversity of naturally circulating viruses results in rapid adaptation to new environments. Reoviruses infect many mammals and are widely studied as a model system for enteric viruses. However, most of our reovirus knowledge comes from laboratory strains maintained on immortalized L929 cells. Herein, we asked whether naturally circulating reoviruses possess the same genetic and phenotypic characteristics as laboratory strains. Naturally circulating reoviruses obtained from sewage were extremely diverse genetically. Moreover, sewage reoviruses exhibited poor fitness on L929 cells and relied heavily on gut proteases for viral uncoating and productive infection compared to laboratory strains. We then examined how naturally circulating reoviruses might adapt to cell culture conditions. Within three passages, virus isolates from the parental sewage population were selected, displaying improved fitness and intracellular uncoating in L929 cells. Remarkably, selected progeny clones were present at 0.01% of the parental population. Altogether, using reovirus as a model, our study demonstrates how the high genetic diversity of naturally circulating viruses results in rapid adaptation to new environments.	Virus	Isolate, Community (taxonomy) profiling, Variant	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease	reovirus genomic diversity confers plasticity for protease utility during adaptation to intracellular uncoating	yes	
250	2023	A metatranscriptomic evaluation of viruses in field-collected bed bugs		Virus		(Meta)transcriptomics, Metatranscriptomics		a metatranscriptomic evaluation of viruses in field-collected bed bugs	yes	
845	2022	MaxQuant and MSstats in Galaxy enable reproducible cloud-based analysis of quantitative proteomics experiments for everyone						maxquant and msstats in galaxy enable reproducible cloud-based analysis of quantitative proteomics experiments for everyone	no	
3662	2013	Human Analysts at Superhuman Scales: What Has Friendly Software To Do?						human analysts at superhuman scales: what has friendly software to do?	no	
1953	2020	CRISPR/Cas9 targeting Ttc30a mimics ciliary chondrodysplasia with polycystic kidney disease	Skeletal ciliopathies (e.g. Jeune syndrome, short rib polydactyly syndrome, Sensenbrenner syndrome) are frequently associated with cystic kidney disease and other organ manifestations, but a common molecular mechanism has remained elusive. We established two models for skeletal ciliopathies (ift80 and ift172) in Xenopus tropicalis, which exhibited severe limb deformities, polydactyly, cystic kidneys, and ciliogenesis defects, closely matching the phenotype of affected patients. Employing data-mining and an in silico screen we identified candidate genes with similar molecular properties to genetically validated skeletal ciliopathy genes. Among four genes experimentally validated, CRISPR/Cas9 targeting of ttc30a replicated all aspects of the phenotypes observed in the models of genetically confirmed disease genes, including ciliary defects, limb deformations and cystic kidney disease. Our findings establish three new models for skeletal ciliopathies (ift80, ift172, ttc30a) and identify TTC30A/B as an essential node in the network of ciliary chondrodysplasia and nephronophthisis-like disease proteins implicating post-translational tubulin modifications in its pathogenesis.	Pathogen			Health & Disease	crispr/cas9 targeting ttc30a mimics ciliary chondrodysplasia with polycystic kidney disease	yes	
5009	2022	The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2022 update						the galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2022 update	no	
2861	2022	Iron-Induced Respiration Promotes Antibiotic Resistance in Actinomycete Bacteria	A widely investigated mode of antibiotic resistance occurs via mutations and/or by horizontal acquisition of resistance genes. In addition to this acquired resistance, most bacteria exhibit intrinsic resistance as an inducible and adaptive response to different classes of antibiotics. ABSTRACT The bacterial response to antibiotics eliciting resistance is one of the key challenges in global health. Despite many attempts to understand intrinsic antibiotic resistance, many of the underlying mechanisms still remain elusive. In this study, we found that iron supplementation promoted antibiotic resistance in Streptomyces coelicolor. Iron-promoted resistance occurred specifically against bactericidal antibiotics, irrespective of the primary target of antibiotics. Transcriptome profiling revealed that some genes in the central metabolism and respiration were upregulated under iron-replete conditions. Iron supported the growth of S. coelicolor even under anaerobic conditions. In the presence of potassium cyanide, which reduces aerobic respiration of cells, iron still promoted respiration and antibiotic resistance. This suggests the involvement of a KCN-insensitive type of respiration in the iron effect. This phenomenon was also observed in another actinobacterium, Mycobacterium smegmatis. Taken together, these findings provide insight into a bacterial resistance strategy that mitigates the activity of bactericidal antibiotics whose efficacy accompanies oxidative damage by switching the respiration mode. IMPORTANCE A widely investigated mode of antibiotic resistance occurs via mutations and/or by horizontal acquisition of resistance genes. In addition to this acquired resistance, most bacteria exhibit intrinsic resistance as an inducible and adaptive response to different classes of antibiotics. Increasing attention has been paid recently to intrinsic resistance mechanisms because this may provide novel therapeutic targets that help rejuvenate the efficacy of the current antibiotic regimen. In this study, we demonstrate that iron promotes the intrinsic resistance of aerobic actinomycetes Streptomyces coelicolor and Mycobacterium smegmatis against bactericidal antibiotics. A surprising role of iron to increase respiration, especially in a mode of using less oxygen, appears a fitting strategy to cope with bactericidal antibiotics known to kill bacteria through oxidative damage. This provides new insights into developing antimicrobial treatments based on the availability of iron and oxygen.	Bacteria	AMR	(Meta)transcriptomics	Health & Disease	iron-induced respiration promotes antibiotic resistance in actinomycete bacteria	yes	
1494	2022	Genomic and Bioinformatic Resources for Perennial Fruit Species						genomic and bioinformatic resources for perennial fruit species	no	
1823	2019	Distinct Classes of Chromatin Loops Revealed by Deletion of an RNA-Binding Region in CTCF.						distinct classes of chromatin loops revealed by deletion of an rna-binding region in ctcf.	no	
5964	2009	BIOINFORMATICS RNA-MATE: a recursive mapping strategy for high-throughput RNA-sequencing data						bioinformatics rna-mate: a recursive mapping strategy for high-throughput rna-sequencing data	no	
6835	2022	In-depth genome analysis of Bacillus sp. BH32, a salt stress-tolerant endophyte obtained from a halophyte in a semiarid region						in-depth genome analysis of bacillus sp. bh32, a salt stress-tolerant endophyte obtained from a halophyte in a semiarid region	no	
5671	2010	Frequent and recent retrotransposition of orthologous genes plays a role in the evolution of sperm glycolytic enzymes						frequent and recent retrotransposition of orthologous genes plays a role in the evolution of sperm glycolytic enzymes	no	
1028	2020	Galaxy-SynBioCAD: Synthetic Biology Design Automation tools in Galaxy workflows						galaxy-synbiocad: synthetic biology design automation tools in galaxy workflows	no	
540	2021	Exploring the signature gut and oral microbiome in individuals of specific Ayurveda prakriti		Microbiome				exploring the signature gut and oral microbiome in individuals of specific ayurveda prakriti	yes	
10860	2025	Mitochondrial genome and phylogeny of American silk moth Antheraea polyphemus and its Asian relatives (Lepidoptera: Saturniidae).						mitochondrial genome and phylogeny of american silk moth antheraea polyphemus and its asian relatives (lepidoptera: saturniidae).	no	
5808	2018	FAIRness and Usability for Open-access Omics Data Systems						fairness and usability for open-access omics data systems	no	
9671	2011	PBX1 Genomic Pioneer Function Drives ERα Signaling Underlying Progression in Breast Cancer						pbx1 genomic pioneer function drives erα signaling underlying progression in breast cancer	no	
3872	2013	BioUML Genome Browser						biouml genome browser	no	
10100	2023	Diversity of arbuscular mycorrhizal fungi in seleniferous soils and their role in plant growth promotion						diversity of arbuscular mycorrhizal fungi in seleniferous soils and their role in plant growth promotion	no	
3169	2015	Using Active Data to Provide Smart Data Surveillance to E-Science Users						using active data to provide smart data surveillance to e-science users	no	
3519	2014	Biochemical and structural characterisation of a haloalkane dehalogenase from a marine Rhodobacteraceae						biochemical and structural characterisation of a haloalkane dehalogenase from a marine rhodobacteraceae	no	
8315	2019	XPRESSyourself: Enhancing, Standardizing, and Automating Ribosome Profiling Computational Analyses Yields Improved Insight into Data						xpressyourself: enhancing, standardizing, and automating ribosome profiling computational analyses yields improved insight into data	no	
3052	2025	Comammox Nitrospira dominates the nitrifying bacterial community in the external canister biofilter in the tank fish farm		Bacteria, Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity	comammox nitrospira dominates the nitrifying bacterial community in the external canister biofilter in the tank fish farm	yes	
1360	2023	CRISPR/Cas9 screen for genome‐wide interrogation of essential MYC‐bound E‐boxes in cancer cells	The transcription factor MYC is a proto‐oncogene with a well‐documented essential role in the pathogenesis and maintenance of several types of cancer. MYC binds to specific E‐box sequences in the genome to regulate gene expression in a cell‐type‐ and developmental‐stage‐specific manner. To date, a combined analysis of essential MYC‐bound E‐boxes and their downstream target genes important for growth of different types of cancer is missing. In this study, we designed a CRISPR/Cas9 library to destroy E‐box sequences in a genome‐wide fashion. In parallel, we used the Brunello library to knock out protein‐coding genes. We performed high‐throughput screens with these libraries in four MYC‐dependent cancer cell lines—K562, ST486, HepG2, and MCF7—which revealed several essential E‐boxes and genes. Among them, we pinpointed crucial common and cell‐type‐specific MYC‐regulated genes involved in pathways associated with cancer development. Extensive validation of our approach confirmed that E‐box disruption affects MYC binding, target‐gene expression, and cell proliferation in vitro as well as tumor growth in vivo. Our unique, well‐validated tool opens new possibilities to gain novel insights into MYC‐dependent vulnerabilities in cancer cells.	Pathogen		(Meta)genomics	Health & Disease	crispr/cas9 screen for genome‐wide interrogation of essential myc‐bound e‐boxes in cancer cells	yes	
607	2019	Impacts of environmental complexity on respiratory and gut microbiome community structure and diversity in growing pigs	The limited understanding of the interaction between rearing environment of the growing pig and the pig’s microbial community impedes efforts to identify the optimal housing system to maximize animal health and production. Accordingly, we characterized the impact of housing complexity on shaping the respiratory and gut microbiota of growing pig. A total of 175 weaned pigs from 25 litters were randomly assigned within liter to either simple slatted-floor (S) or complex straw-based rearing ecosystem (C). Beside the floor swabs samples, fecal swabs and mucosal scraping samples from bronchus, ileum, and colon were collected approximately 164 days post-weaning at the time of slaughter. The S ecosystem seems to increase the α-diversity of respiratory and gut microbiota. Moreover, the C-raised pigs showed 35.4, 89.2, and 60.0% reduction in the Firmicutes/Bacteroidetes ratio than the S-raised pigs at bronchus, ileum, and colon, respectively. The unfavorable taxa Psychrobacter, Corynebacterium, Actinobacteria, and Neisseria were the signature taxa of C environment-associated microbial community. Therefore, the microbiota of S-raised pigs seems to show higher density of the most essential and beneficial taxa than the C-raised pigs. We preliminarily conclude that increasing the physical complexity of rearing environment seems to provide suboptimal conditions for establishing a healthy microbial community in the growing pigs.	Bacteria, Microbiome	Community (taxonomy) profiling, Interactome		Ecosystem Dynamics & Biodiversity, Health & Disease	impacts of environmental complexity on respiratory and gut microbiome community structure and diversity in growing pigs	yes	
1267	2016	Utility of next‐generation RNA‐sequencing in identifying chimeric transcription involving human endogenous retroviruses		Virus				utility of next‐generation rna‐sequencing in identifying chimeric transcription involving human endogenous retroviruses	yes	
10846	2025	Divergent viral phosphodiesterases for immune signaling evasion						divergent viral phosphodiesterases for immune signaling evasion	no	
6015	2025	Comparative Transcriptomics of CAZy Enzymes in White- and Brown-Rot Agaricomycetes: Evolutionary Insights into Lignocellulose Degradation and the Relevance of GH16 Glycoside Hydrolase Functional Divergence.						comparative transcriptomics of cazy enzymes in white- and brown-rot agaricomycetes: evolutionary insights into lignocellulose degradation and the relevance of gh16 glycoside hydrolase functional divergence.	no	
10761	2025	Divergent viral phosphodiesterases for immune signaling evasion.						divergent viral phosphodiesterases for immune signaling evasion.	no	
1808	2019	The tropical coral Pocillopora acuta has a mosaic DNA methylome, an unusual chromatin structure and shows histone H3 clipping						the tropical coral pocillopora acuta has a mosaic dna methylome, an unusual chromatin structure and shows histone h3 clipping	no	
9334	0	Orchestration and Workflows in eScience: Problems, Standards, and Solutions.						orchestration and workflows in escience: problems, standards, and solutions.	no	
3597	2014	HiBrowse: multi-purpose statistical analysis of genome-wide chromatin 3D organization						hibrowse: multi-purpose statistical analysis of genome-wide chromatin 3d organization	no	
215	2024	H-NS is a bacterial transposon capture protein	The histone-like nucleoid structuring (H-NS) protein is a DNA binding factor, found in γ-proteobacteria, with functional equivalents in diverse microbes. Universally, such proteins are understood to silence transcription of horizontally acquired genes. Here, we identify transposon capture as a major overlooked function of H-NS. Using genome scale approaches, we show that H-NS bound chromosomal regions are transposition “hotspots”. Since H-NS often interacts with pathogenicity islands, such targeting creates clinically relevant phenotypic diversity. For example, in Acinetobacter baumannii, we identify altered motility, biofilm formation, and interactions with the human immune system. Transposon capture is mediated by the DNA bridging activity of H-NS and, if absent, more ubiquitous transposition results. Consequently, transcribed and essential genes are disrupted. Hence, H-NS directs transposition to favour evolutionary outcomes useful for the host cell.	Bacteria, Pathogen	Community (taxonomy) profiling, Functional analysis, Interactome	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease	h-ns is a bacterial transposon capture protein	yes	
7547	2020	Biparental contributions of the H2A.B histone variant control embryonic development in mice.						biparental contributions of the h2a.b histone variant control embryonic development in mice.	no	
2470	2016	Towards agile large-scale predictive modelling in drug discovery with flow-based programming design principles						towards agile large-scale predictive modelling in drug discovery with flow-based programming design principles	no	
5565	2012	Chapter 14: Cancer Genome Analysis						chapter 14: cancer genome analysis	no	
2126	2018	AGO CLIP reveals an activated network for acute regulation of brain glutamate homeostasis after ischemic stroke						ago clip reveals an activated network for acute regulation of brain glutamate homeostasis after ischemic stroke	no	
10429	2022	Long-Term Calorie Restriction Alters Anxiety-like Behaviour and the Brain and Adrenal Gland Transcriptomes of the Ageing Male Rat						long-term calorie restriction alters anxiety-like behaviour and the brain and adrenal gland transcriptomes of the ageing male rat	no	
1505	2022	A Workflow Architecture for Cloud-based Distributed Simulation						a workflow architecture for cloud-based distributed simulation	no	
10696	2025	Oncogenic HPV types identified in Paleolithic and Chalcolithic human genome sequencing data from Ust’-Ishim and Ötzi						oncogenic hpv types identified in paleolithic and chalcolithic human genome sequencing data from ust’-ishim and ötzi	no	
2363	2018	Exploratory metagenomic analyses of periweaning failure-to-thrive syndrome-affected pigs	Modern pig farming is characterised by the emergence of several syndromes whose aetiology is unclear or has a multifactorial origin, including periweaning failure-to-thrive syndrome (PFTS). In fact, its specific aetiology remains elusive, although several causes have been investigated over time. The present study aimed to investigate the potential role of viral agents in PFTS-affected and healthy animals by evaluating the virome composition of different organs using a metagenomic approach. This analysis allowed demonstrating a higher abundance of Porcine parvovirus 6 (PPV6) in healthy subjects while Ungulate bocaparvovirus 2 (BoPV2), Ungulate protoparvovirus 1 (PPV) and Porcine circovirus 3 (PCV-3) were increased in pigs with PFTS. No differential abundance of RNA viruses was found between PFTS-affected and control pigs. Remarkably, this is the first molecular characterisation of PPV6 and BoPV2 in Spain and one of the few all around the world, supporting their apparent widespread circulation. Interestingly, PCV-3 has been recently identified in several clinical-pathological conditions as well as in healthy pigs, while BoPV2 pathogenic potential is unknown. Although obtained results must be taken as preliminary, they open the door for further studies on the potential role of these viruses or their combination as predisposing factor/s for PFTS occurrence.	Virus, Pathogen		(Meta)genomics, Metagenomics	Health & Disease	exploratory metagenomic analyses of periweaning failure-to-thrive syndrome-affected pigs	yes	
7046	2021	TP53 wild-type/PPM1D mutant diffuse intrinsic pontine gliomas are sensitive to a MDM2 antagonist						tp53 wild-type/ppm1d mutant diffuse intrinsic pontine gliomas are sensitive to a mdm2 antagonist	no	
440	2024	Skin graft with dermis and appendages generated in vivo by cell competition						skin graft with dermis and appendages generated in vivo by cell competition	no	
5856	2015	A family of variable immunoglobulin and lectin domain containing molecules in the snail Biomphalaria glabrata.						a family of variable immunoglobulin and lectin domain containing molecules in the snail biomphalaria glabrata.	no	
770	2016	Marine and giant viruses as indicators of a marine microbial community in a riverine system	Viral communities are important for ecosystem function as they are involved in critical biogeochemical cycles and controlling host abundance. This study investigates riverine viral communities around a small rural town that influences local water inputs. Myoviridae, Siphoviridae, Phycodnaviridae, Mimiviridae, Herpesviridae, and Podoviridae were the most abundant families. Viral species upstream and downstream of the town were similar, with Synechoccocus phage, salinus, Prochlorococcus phage, Mimivirus A, and Human herpes 6A virus most abundant, contributing to 4.9–38.2% of average abundance within the metagenomic profiles, with Synechococcus and Prochlorococcus present in metagenomes as the expected hosts for the phage. Overall, the majority of abundant viral species were or were most similar to those of marine origin. At over 60 km to the river mouth, the presence of marine communities provides some support for the Baas‐Becking hypothesis “everything is everywhere, but, the environment selects.” We conclude marine microbial species may occur more frequently in freshwater systems than previously assumed, and hence may play important roles in some freshwater ecosystems within tens to a hundred kilometers from the sea.	Virus, Microbiome	Community (taxonomy) profiling, Functional analysis	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity	marine and giant viruses as indicators of a marine microbial community in a riverine system	yes	
6544	2022	Developing and adult reef fish show rapid light‐induced plasticity in their visual system						developing and adult reef fish show rapid light‐induced plasticity in their visual system	no	
10451	2022	FIBCD1 is an endocytic GAG receptor associated with a novel neurodevelopmental disorder						fibcd1 is an endocytic gag receptor associated with a novel neurodevelopmental disorder	no	
138	2024	Deep-sea fish reveal alternative pathway for vertebrate visual development	Vertebrate vision is accomplished by two phenotypically distinct types of photoreceptors in the retina: the saturation-resistant cones for the detection of bright light and the highly sensitive rods for dim light conditions [1]. The current dogma is that, during development, all vertebrates initially feature a cone-dominated retina, and rods are added later [2, 3]. By studying the ontogeny of vision in three species of deep-sea fishes, we show that their larvae express cone-specific genes in photoreceptors with rod-like morphologies. Through development, these fishes either retain this rod-like cone retina (Maurolicus mucronatus) or switch to a retina with true rod photoreceptors with expression of rod-specific genes and transcription factors (Vinciguerria mabahiss and Benthosema pterotum). In contrast to the larvae of most marine fishes, which inhabit the bright upper layer of the open ocean, the larvae of deep-sea fishes occur deeper, exposing them to a dimmer light environment [4–7]. Spectral maxima predictions from molecular dynamics simulations and environmental light estimations suggest that using transmuted photoreceptors that combine the characteristics of both cones and rods maximises visual performance in these dimmer light conditions. Our findings provide molecular, morphological, and functional evidence for the evolution of an alternative developmental pathway for vertebrate vision.		Community (taxonomy) profiling, Functional analysis, AMR		Ecosystem Dynamics & Biodiversity	deep-sea fish reveal alternative pathway for vertebrate visual development	yes	
4659	2014	Exploratory visualizations and statistical analysis of large, heterogeneous epigenetic datasets						exploratory visualizations and statistical analysis of large, heterogeneous epigenetic datasets	no	
1866	2019	Linkage analysis and whole exome sequencing reveals AHNAK2 as a novel genetic cause for autosomal recessive CMT in a Malaysian family						linkage analysis and whole exome sequencing reveals ahnak2 as a novel genetic cause for autosomal recessive cmt in a malaysian family	no	
9379	2023	Fusion of blockchain and IoT in scientific publishing: Taxonomy, tools, and future directions						fusion of blockchain and iot in scientific publishing: taxonomy, tools, and future directions	no	
